"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2018-06-11T19:29:14.468+02:00[Europe/Berlin]","0.0","20.25"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2018-06-11T19:29:34.723+02:00[Europe/Berlin]","0.0","15.29"
